português;O que são português?
literatura;Quais as pricipais obras de Machado de Assis?
redação;O que é tese?
biologia;o que é um ser pluricelular
geografia;o que é um planalto
física;quais são as equações da cinemática?
história;quais foram os presidentes do brasil?
química;qual o elemento que forma o diamante?
inglês;qual a diferença entre o simple past e o past continuous?
espanhol;quais são os artigos utilizados em espanhol?
filosofia;quais as principais ideias de Karl Marx?
sociologia;Como as estruturas sociais impactam a vida das pessoas?
história da arte;quais os principais nomes do periodo renascentista?
orientação de estudos;Como montar um cronograma de estudo?
ensino religioso;Como foi a conversão de São Francisco de Assis?
literatura;Qual é o papel da literatura na sociedade?
redação;Como melhorar minhas habilidades de redação?
biologia;Como as células funcionam no corpo humano?
geografia;Qual é a importância da geografia no mundo atual?
matemática;Como resolver equações matemáticas complexas?
física;Quais são os princípios fundamentais da física?
história;Qual evento histórico teve maior impacto na humanidade?
química;Como as reações químicas ocorrem?
inglês;Como aprofundar meu conhecimento em inglês?
espanhol;Qual a importância de aprender espanhol?
filosofia;Quais são os principais temas da filosofia?
sociologia;Como as estruturas sociais impactam a vida das pessoas?
história da arte;Como as diferentes formas de arte refletem a cultura de uma sociedade?
orientação de estudos;Como criar uma rotina eficiente de estudos?
ensino religioso;Qual é a importância do ensino religioso na educação?
português;Pra que serve o pronome?
biologia;qual é a estrutura da célula animal?
física;o que é a teoria da relatividade?
matemática;qual é a área de um triângulo de base 2 e altura 14?
química;Qual a fórmula química da água?
inglês;Como usar corretamente os tempos verbais em inglês?
espanhol;Quais são os tempos verbais em espanhol?
literatura;Quem são os principais autores do Realismo no Brasil?
redação;Quais são as características de um texto dissertativo-argumentativo?
biologia;O que é mitose e meiose?
geografia;Quais são os tipos de relevo terrestre?
matemática;O que é um número primo?
física;Como calcular a velocidade média?
história;Quais foram as causas da Primeira Guerra Mundial?
química;Qual é a diferença entre ácido e base?
inglês;"Explique o uso do ""used to"" em inglês."
espanhol;Como usar os pronomes de objeto direto em espanhol?
filosofia;Quais são as correntes filosóficas mais importantes da Antiguidade?
sociologia;O que é estratificação social?
história da arte;Quais foram os principais artistas do movimento surrealista?
orientação de estudos;Quais são as técnicas de memorização mais eficientes?
ensino religioso;Qual é a origem da religião hindu?
português;Como identificar e corrigir um período composto?
biologia;Quais são as camadas da pele humana?
física;O que é energia cinética?
matemática;Como calcular a área de um círculo?
química;O que é isomeria em química?
inglês;"Diferencie entre ""much"" e ""many"" em inglês."
espanhol;Explique o uso do subjuntivo em espanhol.
literatura;Quais são as características do Romantismo na literatura?
redação;Como desenvolver uma introdução persuasiva em um texto?
biologia;O que é o ciclo de Krebs?
geografia;Quais são os principais biomas do Brasil?
matemática;Como resolver problemas de porcentagem?
física;Explique o conceito de força na física.
história;Quais foram as consequências da Revolução Industrial?
química;Qual é a Lei da Conservação da Massa?
inglês;Como usar corretamente os modais em inglês?
espanhol;Quais são os pronomes possessivos em espanhol?
filosofia;Qual é o conceito de felicidade para Aristóteles?
sociologia;O que é anomia social?
história da arte;Quais foram as características da arte gótica?
orientação de estudos;Como evitar a procrastinação nos estudos?
ensino religioso;Quem foi Maomé e qual é o livro sagrado do islamismo?
português;Explique a diferença entre linguagem denotativa e conotativa.
biologia;Como ocorre a fotossíntese nas plantas?
física;O que é a lei da inércia?
matemática;Resolva a equação: 2x + 5 = 15
português;O que são vozes verbais?
literatura;Quais são as características do Modernismo na literatura brasileira?
redação;Qual é a estrutura básica de um texto dissertativo?
biologia;O que são genes e como eles são herdados?
geografia;Como as mudanças climáticas impactam o meio ambiente?
matemática;Explique o Teorema de Pitágoras.
física;O que é o princípio da conservação da energia?
história;Quais foram as principais causas e consequências da Guerra Fria?
química;Qual é a importância da química na indústria?
inglês;"Explique a diferença entre ""there"", ""their"" e ""they're"" em inglês."
espanhol;Como ocorre a conjugação de verbos regulares em espanhol?
filosofia;Quais são as críticas de Friedrich Nietzsche à moral tradicional?
sociologia;O que é a teoria do conflito na sociologia?
história da arte;Quais foram as características da arquitetura românica?
orientação de estudos;Como organizar o tempo para estudo e lazer de forma eficiente?
ensino religioso;Quais são os principais princípios do Budismo?
português;O que são figuras de linguagem e quais são os tipos mais comuns?
biologia;Qual é a importância da biodiversidade para o ecossistema?
física;Explique o conceito de aceleração.
matemática;Como resolver equações de segundo grau?
química;O que é uma ligação iônica?
inglês;Quando usar o present perfect em inglês?
espanhol;Quais são as diferenças entre o espanhol e o português?
literatura;Quais são as características do Realismo em Portugal?
redação;Como elaborar uma conclusão eficaz em um texto argumentativo?
biologia;O que é ecossistema e quais são seus componentes?
geografia;Quais são os impactos da globalização no mundo atual?
matemática;Explique o conceito de derivada em cálculo.
física;O que é o efeito Doppler?
história;Como era organizada a sociedade feudal na Idade Média?
química;Qual é a função dos catalisadores em uma reação química?
inglês;"Diferencie entre ""few"" e ""less"" em inglês."
espanhol;Explique o uso dos pronomes de tratamento em espanhol.
filosofia;Quais são os princípios do existencialismo?
sociologia;O que é cultura de massa e como ela influencia a sociedade?
história da arte;Quais foram os principais artistas do Barroco?
orientação de estudos;Como manter a concentração durante os estudos?
ensino religioso;Qual é a importância dos rituais religiosos?
português;O que é intertextualidade e como ela ocorre nos textos?
biologia;Quais são os tipos de reprodução assexuada?
física;Explique o princípio da inércia.
matemática;Como calcular a média aritmética?
química;O que são isótopos e isóbaros?
inglês;Como usar corretamente os comparativos e superlativos em inglês?
espanhol;Quais são os modos verbais em espanhol?
literatura;Quais são os elementos essenciais de um conto?
redação;Como desenvolver argumentos sólidos em um texto dissertativo?
português;O que são fonemas?
literatura;"Quem foi o autor de ""Dom Casmurro""?"
redação;Explique o conceito de argumentação.
biologia;Qual é a importância da fotossíntese para os seres vivos?
geografia;O que caracteriza uma floresta tropical?
matemática;Como calcular a área de um triângulo?
física;Explique a lei da conservação da energia.
história;Quais foram os motivos da Revolução Francesa?
química;Como ocorre a ligação iônica entre átomos?
inglês;Quando usar o present perfect tense em inglês?
espanhol;"Explique a diferença entre ""ser"" e ""estar"" em espanhol."
filosofia;Quais são os pilares do pensamento existencialista?
sociologia;Como a globalização influencia as culturas locais?
história da arte;Quem foi Leonardo da Vinci e suas contribuições?
orientação de estudos;Qual a importância de intervalos de descanso durante os estudos?
ensino religioso;Como foi o encontro de Buda com a iluminação?
literatura;Qual é a função do narrador em uma história?
português;Explique a diferença entre linguagem oral e escrita.
matemática;O que são números primos?
física;Como a temperatura afeta a velocidade do som?
português;Como identificar os tipos de sujeito em uma frase?
literatura;Qual é a diferença entre o Simbolismo e o Realismo na literatura?
redação;Como elaborar uma introdução impactante para um texto dissertativo?
biologia;Qual é a importância da mitose e da meiose no ciclo celular?
geografia;Como as correntes marítimas influenciam o clima de uma região?
matemática;Como resolver equações de segundo grau utilizando a fórmula de Bhaskara?
física;Qual é a diferença entre velocidade média e velocidade instantânea?
história;Quais foram as principais consequências da Revolução Francesa?
química;Como é realizada a balanceamento de equações químicas?
inglês;"Qual é a diferença entre os tempos verbais ""Present Perfect"" e ""Past Simple""?"
espanhol;Quais são as principais diferenças entre o espanhol latino-americano e o espanhol europeu?
filosofia;O que é o método filosófico e como ele se aplica na busca pelo conhecimento?
sociologia;Quais são as principais teorias sociológicas sobre a estratificação social?
história da arte;Como as características do Renascimento se refletiram na arte da época?
orientação de estudos;Quais são as melhores técnicas para organizar o tempo de estudo?
ensino religioso;Qual é o papel das principais religiões na sociedade contemporânea?
português;O que são pronomes pessoais e como eles são classificados na língua portuguesa?
literatura;Quais são as características do movimento Modernismo na literatura brasileira?
redação;Como evitar a repetição de palavras em um texto?
biologia;Quais são os principais tipos de reprodução assexuada nos seres vivos?
geografia;Quais são os tipos de relevo mais comuns encontrados no Brasil?
matemática;Como calcular a área de um triângulo utilizando a fórmula de Heron?
física;Qual é a relação entre massa e peso de um corpo?
história;Como ocorreu o processo de independência das colônias americanas?
química;O que são isômeros e quais são os principais tipos?
inglês;"Quando usar os artigos definidos ""the"" e indefinidos ""a/an""?"
espanhol;Quais são os principais escritores da literatura espanhola?
filosofia;Quais foram as principais contribuições de Sócrates para a filosofia ocidental?
sociologia;Como a globalização afeta as relações sociais contemporâneas?
história da arte;Quais são as características da arquitetura gótica?
orientação de estudos;Como elaborar um cronograma de estudos eficiente?
ensino religioso;Quais são os principais rituais da religião hinduísta?
português;O que são figuras de linguagem e quais são os tipos mais comuns?
literatura;"Qual é a importância da obra ""Dom Casmurro"" de Machado de Assis?"
redação;Como construir uma argumentação sólida em um texto dissertativo-argumentativo?
biologia;Quais são os estágios da mitose e da meiose?
geografia;Como ocorre o fenômeno do aquecimento global?
matemática;Qual é a diferença entre média aritmética, mediana e moda?
física;Quais são os tipos de movimento estudados na cinemática?
história;Quais foram as causas da Primeira Guerra Mundial?
química;O que é a tabela periódica e como ela está organizada?
inglês;Como usar os verbos modais corretamente em inglês?
espanhol;Quais são os países onde o espanhol é a língua oficial?
filosofia;Qual é a diferença entre ética e moral?
sociologia;O que é estratificação social e como ela funciona na sociedade?
história da arte;Quais são os principais estilos artísticos do século XX?
orientação de estudos;Como manter o foco nos estudos e evitar distrações?
ensino religioso;Quais são as principais características do budismo?
português;Como identificar e interpretar os elementos de coesão textual?
literatura;Qual é a importância do Arcadismo na literatura brasileira?
redação;Quais são os tipos de argumentos utilizados em uma redação?
biologia;Como é o processo de fotossíntese nas plantas?
geografia;Quais são os fatores que influenciam a formação do clima?
matemática;Como calcular probabilidades utilizando a regra do produto?
física;O que é o princípio da inércia e como ele se relaciona com a primeira lei de Newton?
história;Quais foram as principais características do feudalismo?
química;O que são ligações químicas e quais são os principais tipos?
inglês;"Como diferenciar os tempos verbais ""Present Continuous"" e ""Present Perfect Continuous""?"
espanhol;Quais são os principais dialetos do espanhol?
filosofia;Quais são os principais pensadores da filosofia antiga?
sociologia;Como ocorre o processo de socialização nas sociedades?
história da arte;Qual é a importância do movimento Barroco na arte europeia?
orientação de estudos;Como superar o desânimo nos momentos de estudo?
ensino religioso;Qual é o papel dos profetas nas religiões monoteístas?
português;Quais são as diferenças entre discurso direto e indireto?
literatura;O que é o Naturalismo e como ele se manifesta na literatura?
redação;Como estruturar uma conclusão eficaz para um texto argumentativo?
biologia;Quais são os principais grupos de seres vivos e suas características?
geografia;Como as questões ambientais impactam a vida urbana?
matemática;O que são números irracionais e como eles são representados?
física;Como calcular a aceleração de um corpo em movimento uniformemente variado?
história;Qual foi o papel das Cruzadas na Europa medieval?
química;O que são ácidos, bases e sais e quais são suas propriedades?
inglês;"Como usar os tempos verbais ""Past Perfect"" e ""Past Perfect Continuous""?"
espanhol;Quais são as semelhanças e diferenças entre o espanhol e o português?
filosofia;Quais são as principais correntes filosóficas do século XX?
sociologia;O que são movimentos sociais e como eles influenciam a sociedade?
história da arte;Como a arte gótica se desenvolveu ao longo da Idade Média?
orientação de estudos;Como desenvolver técnicas eficazes de memorização?
ensino religioso;Quais são os principais pilares éticos do cristianismo?
inglês;Qual a diferença de there is e have?
história;quem foi o presidente do Brasil em 1940?
matemática;se x+y=2 e x=4, quanto vale y?
biologia;proteína é bom pra que?
matemática;x+3=1, quanto vale x?
biologia;o que são organelas?
biologia;qual organela é responsável pela respiração celular?
matemática;o par ordenado (x+2,y)=(y,1), quanto vale x?
matemática;Resolva a equação 2*x - 7 = 15.
matemática;Encontre o valor de Y em 4*y + 6 = 2*y + 10.
matemática;Se x + 5 = 12, qual é o valor de x?
matemática;Resolva a equação 3*y - 4 = 5*y + 2.
matemática;Encontre o valor de x em 2*x + 8 = 6*x - 3.
matemática;Se y - 2 = 7, qual é o valor de y?
matemática;Resolva a equação x + 9 = 2*x + 3.
matemática;Encontre o valor de y em 5*y - 12 = y + 6.
matemática;Se 2*x + 3 = 9, qual é o valor de x?
matemática;Resolva a equação 4*y + 5 = 3*y + 11.
matemática;Encontre o valor de x em x - 6 = 2*x + 4.
matemática;Se y + 4 = 8, qual é o valor de y?
matemática;Resolva a equação 3*x + 7 = x + 12.
matemática;Encontre o valor de y em 2*y - 3 = 5*y + 2.
matemática;Se x - 5 = 11, qual é o valor de x?
matemática;Resolva a equação y + 6 = 2*y - 1.
matemática;Encontre o valor de x em 4*x - 9 = 7*x + 2.
matemática;Se y + 2 = 10, qual é o valor de y
literatura;"Qual é o autor de ""Dom Casmurro""?"
literatura;Em que obra encontramos o personagem Sherlock Holmes?
literatura;"Quem é o autor da peça teatral ""Romeu e Julieta""?"
literatura;"Qual é o gênero literário de ""Grande Sertão: Veredas"", de Guimarães Rosa?"
literatura;"Quem escreveu ""Cem Anos de Solidão""?"
literatura;Em qual obra Machado de Assis explora a psicologia do narrador Bentinho?
literatura;"Qual é o protagonista da obra ""O Pequeno Príncipe""?"
literatura;"Quem é o autor de ""1984"", uma distopia que aborda questões políticas e sociais?"
literatura;Em que livro encontramos a personagem Scarlett O'Hara?
literatura;Qual é o movimento literário caracterizado pela valorização das emoções e da subjetividade?
literatura;O que significa dizer que o eu lírico é subjetivo na poesia?
literatura;Como a perspectiva do eu lírico pode influenciar a interpretação de um poema?
literatura;Qual é a importância da identificação do eu lírico com elementos do poema?
literatura;De que maneira a subjetividade do eu lírico contribui para a expressão emocional em um poema?
literatura;Como o tom do eu lírico pode influenciar a interpretação do leitor?
literatura;Por que a poesia é frequentemente associada à expressão de sentimentos e emoções?
química;Como ocorre a formação de moléculas?
química;O que é uma reação química e como ela acontece?
química;Como os átomos se combinam para formar compostos químicos?
química;Quais são os diferentes tipos de ligações químicas?
química;Como ocorre a formação de íons?
química;O que é uma equação química e como interpretá-la?
química;Quais são os fatores que influenciam a velocidade de uma reação química?
química;Como ocorre a formação de substâncias simples e compostas?
química;O que é uma reação de síntese e uma reação de decomposição?
física;O que caracteriza um movimento acelerado?
física;Qual é a diferença entre velocidade e aceleração?
física;Como calcular a aceleração média de um objeto?
física;O que representa um gráfico posição-tempo para um movimento acelerado?
física;Quais são as equações do movimento uniformemente acelerado?
física;Como a aceleração é relacionada à mudança de velocidade?
física;O que é uma queda livre e como a aceleração da gravidade afeta esse movimento?
física;Explique o conceito de força resultante em um movimento acelerado.
física;Como as leis de Newton se aplicam a um objeto em movimento acelerado?
física;O que é um lançamento vertical e como a aceleração afeta a trajetória do objeto?
física;Qual é a diferença entre aceleração tangencial e aceleração centrípeta?
física;Como as forças de atrito influenciam o movimento acelerado?
física;Explique a relação entre força e aceleração, de acordo com a segunda lei de Newton.
física;O que é uma colisão elástica e como ela afeta as velocidades dos objetos envolvidos?
física;Como a aceleração angular é calculada em um movimento de rotação?
física;Qual é a diferença entre velocidade angular e aceleração angular?
física;Como a força centrípeta está relacionada ao movimento circular acelerado?
física;O que é um pêndulo simples e como a aceleração gravitacional afeta seu movimento?
física;Explique como a aceleração é medida em um experimento prático.
física;Como a aceleração é representada em um vetor?
física;Qual é a importância da inércia em um movimento acelerado?
física;Como a força centrípeta está relacionada à aceleração centrípeta em um movimento circular?
física;O que significa quando um objeto está sujeito a uma aceleração constante?
física;Explique o conceito de velocidade terminal em um movimento acelerado.
física;Como as forças de inclinação influenciam um movimento acelerado em um plano inclinado?
física;O que são movimentos acelerados uniformes e não uniformes?
física;Explique como a aceleração e a massa estão relacionadas, conforme indicado pela segunda lei de Newton.
física;Como a aceleração tangencial e a aceleração centrípeta são combinadas em um movimento curvilíneo?
física;Qual é a relação entre aceleração e velocidade final em um movimento acelerado?
física;O que é um movimento oscilatório e como a aceleração é envolvida nesse tipo de movimento?
física;Qual é a fórmula da aceleração média?
física;Como a aceleração pode ser expressa em termos de variação de velocidade e tempo?
física;Quais são as equações do movimento uniformemente acelerado?
física;Como a força resultante (F) está relacionada à massa (m) e à aceleração (a), de acordo com a segunda lei de Newton (F = m.a)?
física;Qual é a fórmula para calcular a força centrípeta em um movimento circular acelerado?
física;Como a força de atrito (f) está relacionada à força normal (N) e ao coeficiente de atrito (?), conforme expresso na fórmula f = ?.N?
física;Qual é a fórmula da aceleração angular (?) em um movimento de rotação?
física;Como a força centrípeta (Fc) pode ser expressa em termos da massa (m), velocidade tangencial (v), e raio (r) em um movimento circular acelerado?
física;Explique a fórmula para a energia cinética (K) em termos de massa (m) e velocidade (v).
física;Qual é a fórmula para a energia potencial gravitacional (U) em relação à massa (m), aceleração devido à gravidade (g), e altura (h)?
física;Como a equação do trabalho (W) é expressa em termos da força (F) aplicada em uma direção e do deslocamento (d) nessa direção?
física;Explique a fórmula para o torque (?) em termos da força aplicada (F) e do braço de alavanca (r).
física;Qual é a fórmula para calcular a força elástica (F) em uma mola em termos da constante elástica (k) e do deslocamento (x)?
física;Como a velocidade terminal (v) pode ser expressa em termos da aceleração devida à gravidade (g) e da resistência do ar (b)?
física;Qual é a fórmula para a aceleração centrípeta (ac) em um movimento circular uniforme em relação à velocidade angular (?) e ao raio (r)?
história;Quais foram as principais características do escambo na colonização brasileira?
história;Como o escambo influenciou as relações entre colonizadores europeus e povos indígenas no Brasil?
história;Explique a importância do Tratado de Tordesilhas para a história do Brasil colonial.
história;Quais foram os impactos do ciclo do açúcar na economia colonial brasileira?
história;Como a chegada dos portugueses ao Brasil afetou as populações indígenas?
história;Quais foram as principais características do período do Brasil Colônia?
história;Explique o sistema de capitanias hereditárias e seu papel na colonização do Brasil.
história;Como se deu a introdução da cultura do tabaco no Brasil colonial?
história;Qual foi o papel dos bandeirantes na expansão territorial e na busca por ouro no Brasil colonial?
história;Quais foram os principais conflitos entre colonizadores e povos indígenas durante o período colonial?
história;Explique o que foi o período do Brasil Império e suas principais características.
história;Como a independência do Brasil em 1822 impactou a estrutura política e social do país?
história;Quais foram as principais causas da Guerra do Paraguai e como ela afetou o Brasil?
história;Explique a importância do movimento abolicionista na história do Brasil.
história;Como se deu a transição do regime imperial para o republicano no Brasil?
história;Quais foram os impactos da Proclamação da República na sociedade brasileira?
história;Como a industrialização influenciou a história do Brasil no século XX?
história;Quais foram os principais acontecimentos da Era Vargas?
história;Explique o contexto e os desdobramentos da Ditadura Militar no Brasil.
história;Como as manifestações populares, como as Diretas Já, contribuíram para o processo de redemocratização no Brasil?
história;Explique o contexto histórico da Questão Christie e seu impacto nas fronteiras do Brasil.
história;Como a expansão territorial se relaciona com o processo de independência do Brasil?
história;Quais foram os tratados e acordos que definiram as fronteiras do Brasil com os países vizinhos durante o século XIX?
história;"Explique como a política de ""marcha para o Oeste"" influenciou a expansão territorial durante a República Velha."
história;Quais foram os desafios enfrentados na construção e ocupação da Transamazônica na década de 1970?
história;Como as políticas de colonização e ocupação do interior contribuíram para a expansão territorial ao longo do século XX?
